검색조건 - 분류항목 : 보행어린이사고 다발지역; 세분류 : 19년 보행어린이사고 다발지역; 시도 : 서울특별시,,,,,,,
시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 강북구1,서울특별시 강북구 번동(삼덕상운 부근),4,4,0,0,4,0
서울특별시 은평구1,서울특별시 은평구 불광동(연신초교삼거리 부근),4,4,0,2,1,1
서울특별시 은평구2,서울특별시 은평구 역촌동(역촌초교앞사거리 부근),3,3,0,1,1,1
서울특별시 양천구1,서울특별시 양천구 신월동(금실어린이공원 부근),3,3,0,1,2,0
서울특별시 강서구1,서울특별시 강서구 화곡동(서울강서대학입구교차로 부근),4,4,0,1,2,1
서울특별시 강서구2,서울특별시 강서구 화곡동(한라한의원 부근),3,3,0,2,1,0
서울특별시 강서구3,서울특별시 강서구 화곡동(이수약국 부근),3,3,0,0,2,1
서울특별시 구로구1,서울특별시 구로구 구로동(성은어린이집 부근),5,5,0,2,3,0
서울특별시 구로구2,서울특별시 구로구 개봉동(개봉중앙시장 부근),4,5,0,1,3,1
서울특별시 관악구1,서울특별시 관악구 신림동(뿌리약국 부근),3,4,0,2,2,0
서울특별시 강남구1,서울특별시 강남구 대치동(대치사거리 부근),3,4,0,0,4,0
서울특별시 송파구1,서울특별시 송파구 거여동(거마로11 부근),3,5,0,1,2,2
서울특별시 송파구2,서울특별시 송파구 잠실동(신천역 부근),3,3,0,0,2,1
서울특별시 강동구1,서울특별시 강동구 암사동(암사2동주민센터 부근),4,5,0,0,5,0
서울특별시 강동구2,서울특별시 강동구 천호동(천일초교 부근),3,3,0,0,2,1
