검색조건 - 분류항목 : 보행어린이사고 다발지역; 세분류 : 21년 보행어린이 사고다발지역; 시도 : 서울특별시,,,,,,,
시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 광진구1,서울특별시 광진구 자양동(자양현대아파트 부근),3,3,0,0,3,0
서울특별시 강서구1,서울특별시 강서구 마곡동(서울공진초교 부근),3,3,0,0,2,1
서울특별시 구로구1,서울특별시 구로구 구로동(애경어린이공원 부근),3,3,0,0,3,0
서울특별시 강남구1,서울특별시 강남구 대치동(청실종합상가 부근),4,4,0,1,2,1
서울특별시 강동구1,서울특별시 강동구 성내동(둔촌역청구아파트 부근),3,3,0,1,1,1
