검색조건 - 분류항목 : 보행어린이사고 다발지역; 세분류 : 17년 보행어린이사고 다발지역; 시도 : 서울특별시,,,,,,,
시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 강북구1,서울특별시 강북구 미아동(삼양시장오거리 부근),4,0,5,1,4,0
서울특별시 노원구1,서울특별시 노원구 상계동(홍파복지원앞사거리 부근),3,0,4,1,2,1
서울특별시 노원구2,서울특별시 노원구 중계동(중계그린아파트107동 부근),3,0,3,0,1,2
서울특별시 서대문구1,서울특별시 서대문구 북가좌동(북가좌초교사거리 부근),3,0,3,1,2,0
서울특별시 양천구1,서울특별시 양천구 신정동(수정아파트102동 부근),3,0,3,1,2,0
서울특별시 서초구1,서울특별시 서초구 우면동(서초네이처힐 3단지 314동 부근),3,0,3,1,2,0
서울특별시 서초구2,서울특별시 서초구 방배동(방배초교입구사거리 부근),3,0,3,0,3,0
서울특별시 강남구1,서울특별시 강남구 도곡동(언주초교 부근),3,0,3,1,2,0
서울특별시 강남구2,서울특별시 강남구 역삼동(상지리츠빌1차 부근),3,0,4,0,4,0
서울특별시 송파구1,서울특별시 송파구 방이동(방이초교 부근),4,0,4,1,2,1
서울특별시 송파구2,서울특별시 송파구 송파동(중대초교 부근),3,0,3,1,2,0
